Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,Age
Jemir Leal,KCR,2,5,,7.08381,65,0,0,0,,65,322,78,54,51,11,55,,3,31,4.2939,7.6518,0.561162,1.5624,0.0962283,0.17148,-0.0752521157264709,0.29398,2.0432,0.299172,0.672829,0.416013,,7.16878,-2.05916,-2.03144,999.0,,,,,,,30.899999999999977,0.475384615384615,70,1.0769230769230769,,,,,,,,,,,,,,,,,,,Jemir Leal,sa3016202,691484,21.9
Javier Fuenmayor,,2,4,,7.02045,65,0,0,0,,65,325,76,54,51,11,59,,3,33,4.5018,8.2323,0.546846,1.4544,0.10008,0.183013,-0.0829331651329994,0.291215,2.0885,0.300454,0.678047,0.429002,,7.16878,-2.0598,-2.03207,999.0,,,,,,,28.09999999999999,0.4323076923076922,62,0.953846153846154,,,,,,,,,,,,,,,,,,,Javier Fuenmayor,sa3015965,692656,22.1
Edgardo Ibarra,,8,17,,6.11604,32,32,0,0,,200,949,227,144,136,33,134,,11,111,4.9914,6.0525,0.824684,1.4652,0.116881,0.141728,-0.0248472020030021,0.282615,1.8085,0.294713,0.68709,0.408987,,6.34988,-2.0605,-1.67875,999.0,,,,,,,270.9,1.3544999999999998,358,1.79,,,,,,,,,,,,,,,,,,,Edgardo Ibarra,sa3015348,691453,21.7
Roiber Talavera,SEA,2,5,,6.54939,65,0,0,0,,65,316,73,50,47,11,52,,3,37,5.0832,7.2513,0.701005,1.5561,0.116023,0.165509,-0.0494864434003829,0.280313,1.9297,0.29067,0.686402,0.405061,,6.85918,-2.06053,-2.04272,999.0,,,,,,,64.89999999999998,0.998461538461538,91,1.4,,,,,,,,,,,,,,,,,,,Roiber Talavera,sa3016799,699696,20.9
Ramon Cuevas,,2,5,,7.06518,65,0,0,0,,65,323,77,54,51,11,56,,3,31,4.2723,7.7859,0.548723,1.521,0.0954939,0.174029,-0.0785354971885681,0.293925,2.0562,0.29985,0.67361,0.424012,,7.16988,-2.06058,-2.03207,999.0,,,,,,,30.5,0.4692307692307692,67,1.0307692307692309,,,,,,,,,,,,,,,,,,,Ramon Cuevas,sa3019372,800122,21.5
Jeremy Reyes,ATL,8,16,,6.25158,32,32,0,0,,200,946,235,148,139,33,126,,9,113,5.085,5.6493,0.900111,1.4778,0.119501,0.132762,-0.0132614225149154,0.290162,1.8039,0.304416,0.676802,0.433397,,6.19428,-2.06455,-1.8312,999.0,,,,,,,284.1,1.4205,392,1.96,,,,,,,,,,,,,,,,,,,Jeremy Reyes,sa3021018,808512,19.1
Yoerys Hernandez,,2,4,,6.85629,65,0,0,0,,65,326,75,52,50,10,62,,3,33,4.635,8.5626,0.541308,1.4103,0.102733,0.189787,-0.0870536565780639,0.286138,2.0991,0.296769,0.687602,0.408003,,7.17958,-2.06744,-1.83543,999.0,,,,,,,34.0,0.5230769230769231,66,1.015384615384615,,,,,,,,,,,,,,,,,,,Yoerys Hernandez,sa3018881,801742,21.5
Abdiel Medina,,2,4,,7.03458,65,0,0,0,,65,322,77,54,51,11,55,,4,31,4.3542,7.6527,0.568976,1.5651,0.0975797,0.171501,-0.0739209353923797,0.291558,2.0314,0.29682,0.674352,0.405001,,7.18058,-2.06815,-2.03207,999.0,,,,,,,30.5,0.4692307692307692,67,1.0307692307692309,,,,,,,,,,,,,,,,,,,Abdiel Medina,sa3009206,682731,23.1
Walter Ford,SEA,8,16,,5.79987,32,32,0,0,,200,914,227,137,129,38,93,,10,110,4.9401,4.203,1.17537,1.6992,0.120136,0.102211,0.0179251432418823,0.280577,1.6039,0.286063,0.686409,0.383729,,6.07408,-2.06854,-2.04227,999.0,,,,,,,333.4,1.6669999999999998,417,2.085,,,,,,,,,,,,,,,,,,,Walter Ford,sa3022190,703609,20.1
Enger Sanchez,,2,4,,7.04259,65,0,0,0,,65,323,75,54,51,12,57,,4,35,4.8591,7.8696,0.617452,1.5984,0.108785,0.176184,-0.0673987492918968,0.286564,2.0304,0.29501,0.676354,0.383999,,7.18248,-2.06949,-2.03207,999.0,,,,,,,25.40000000000001,0.3907692307692308,56,0.8615384615384616,,,,,,,,,,,,,,,,,,,Enger Sanchez,sa3019387,800579,21.7
Luis Espinoza,,2,5,,7.08318,65,0,0,0,,65,323,75,54,51,11,58,,3,36,4.9914,8.0919,0.616839,1.5795,0.111477,0.180724,-0.069246232509613,0.286722,2.0537,0.296985,0.676549,0.394007,,7.18308,-2.06992,-2.03207,999.0,,,,,,,39.69999999999999,0.6107692307692306,71,1.0923076923076922,,,,,,,,,,,,,,,,,,,Luis Espinoza,sa3021043,814260,19.9
Bladimir Pichardo,PIT,2,5,,7.12098,65,0,0,0,,65,322,78,54,51,11,55,,4,31,4.2966,7.6194,0.563903,1.5705,0.09625,0.170685,-0.0744354873895645,0.294247,2.0408,0.299331,0.67047,0.418994,,7.18468,-2.07041,-2.03144,999.0,,,,,,,27.899999999999977,0.4292307692307688,67,1.0307692307692309,,,,,,,,,,,,,,,,,,,Bladimir Pichardo,sa3022123,808097,19.3
Jorge Geraldo,HOU,2,5,,7.11531,65,0,0,0,,65,321,76,54,51,12,55,,3,34,4.7583,7.6293,0.623688,1.6164,0.107154,0.171808,-0.0646534338593483,0.290897,2.0215,0.298846,0.67026,0.412257,,7.14058,-2.07047,-2.14058,999.0,,,,,,,29.80000000000001,0.4584615384615386,63,0.9692307692307692,,,,,,,,,,,,,,,,,,,Jorge Geraldo,sa3017692,702876,23.2
Miguel Cordero,MIN,2,5,,7.13565,65,0,0,0,,65,324,77,54,52,11,57,,3,34,4.752,7.9254,0.599591,1.5588,0.106024,0.176827,-0.0708032175898552,0.29087,2.0581,0.30006,0.672498,0.406453,,7.15748,-2.07076,-2.1208,999.0,,,,,,,33.5,0.5153846153846153,70,1.0769230769230769,,,,,,,,,,,,,,,,,,,Miguel Cordero,sa3022005,807996,18.5
Jose Linares,,2,4,,7.01523,65,0,0,0,,65,325,74,54,51,11,61,,3,36,5.0121,8.424,0.594979,1.5066,0.111491,0.187387,-0.0758958980441093,0.285087,2.079,0.296986,0.680566,0.402999,,7.18598,-2.07197,-2.03207,999.0,,,,,,,33.29999999999998,0.512307692307692,62,0.953846153846154,,,,,,,,,,,,,,,,,,,Jose Linares,sa3019616,805711,23.2
Pitterson Rosa,PIT,2,4,,7.14429,65,0,0,0,,65,329,74,55,52,10,66,,3,37,5.1039,9.1179,0.559767,1.3734,0.112009,0.200099,-0.0880900621414184,0.285986,2.1563,0.302224,0.678245,0.410198,,7.21288,-2.07325,-1.95465,999.0,,,,,,,32.599999999999994,0.5015384615384615,62,0.953846153846154,,,,,,,,,,,,,,,,,,,Pitterson Rosa,sa3018839,800278,20.2
Michael Saturria,TBR,2,4,,6.77241,65,0,0,0,,65,322,71,52,49,10,62,,3,41,5.6097,8.523,0.658184,1.4436,0.125665,0.190927,-0.0652620941400528,0.27709,2.0445,0.294955,0.685902,0.401598,,7.00268,-2.0734,-2.07224,999.0,,,,,,,60.400000000000006,0.9292307692307692,82,1.2615384615384615,,,,,,,,,,,,,,,,,,,Michael Saturria,sa3018311,800014,22.5
Jose Chavez,,2,5,,7.15392,65,0,0,0,,65,321,78,55,52,12,53,,3,31,4.2678,7.2783,0.586373,1.6542,0.0960697,0.163837,-0.0677674263715744,0.294771,2.0101,0.297744,0.668253,0.400997,,7.18838,-2.07366,-2.13005,999.0,,,,,,,24.59999999999999,0.3784615384615383,63,0.9692307692307692,,,,,,,,,,,,,,,,,,,Jose Chavez,sa3018292,698903,21.1
Osiris Santana,,2,4,,7.04979,65,0,0,0,,65,325,76,54,51,11,60,,3,34,4.6413,8.2989,0.559267,1.4778,0.10314,0.18442,-0.0812800079584121,0.289985,2.0899,0.299833,0.678165,0.419991,,7.18838,-2.07366,-2.03207,999.0,,,,,,,27.09999999999999,0.4169230769230768,61,0.9384615384615383,,,,,,,,,,,,,,,,,,,Osiris Santana,sa3009738,683990,23.3
Jesael Cabrera,,2,5,,7.1505,65,0,0,0,,65,320,79,55,52,12,52,,3,29,4.0302,7.1676,0.56228,1.6497,0.0908316,0.161542,-0.0707099363207817,0.297077,2.0099,0.298289,0.667891,0.407006,,7.18938,-2.07437,-2.13005,999.0,,,,,,,21.0,0.3230769230769231,62,0.953846153846154,,,,,,,,,,,,,,,,,,,Jesael Cabrera,sa3018300,702736,21.3
Jhonny Gomez,,2,5,,7.10298,65,0,0,0,,65,322,78,54,51,11,54,,4,30,4.1076,7.5294,0.545541,1.5669,0.0920532,0.168737,-0.0766841471195221,0.29549,2.0383,0.299043,0.670861,0.420011,,7.19058,-2.07522,-2.03207,999.0,,,,,,,28.899999999999977,0.4446153846153842,68,1.0461538461538462,,,,,,,,,,,,,,,,,,,Jhonny Gomez,sa3016268,699289,22.5
Cristhofer Gonzalez,,2,4,,6.99633,65,0,0,0,,65,326,74,53,51,10,63,,3,37,5.0994,8.7651,0.581785,1.4427,0.112914,0.194081,-0.0811677947640419,0.284219,2.1089,0.298393,0.682629,0.416986,,7.19098,-2.0755,-1.93387,999.0,,,,,,,41.599999999999994,0.6399999999999999,71,1.0923076923076922,,,,,,,,,,,,,,,,,,,Cristhofer Gonzalez,sa3019156,800392,20.2
Mado Villegas,MIA,2,4,,7.06914,65,0,0,0,,65,324,76,54,51,11,58,,3,33,4.6179,7.9785,0.578793,1.5453,0.103032,0.178012,-0.0749799162149429,0.290003,2.0582,0.298018,0.675865,0.403999,,7.19148,-2.07586,-2.03207,999.0,,,,,,,31.09999999999999,0.4784615384615384,65,1.0,,,,,,,,,,,,,,,,,,,Mado Villegas,sa3018343,800574,21.6
Jayson Schroeder,,2,4,,7.00569,65,0,0,0,,65,327,74,54,51,10,63,,4,38,5.1966,8.7849,0.591538,1.4382,0.114905,0.194249,-0.079343281686306,0.283602,2.1079,0.298746,0.681729,0.41601,,7.19168,-2.076,-2.03207,999.0,,,,,,,40.599999999999994,0.6246153846153846,70,1.0769230769230769,,,,,,,,,,,,,,,,,,,Jayson Schroeder,sa3008356,677315,25.3
Gustavo Rivas,,2,4,,7.03926,65,0,0,0,,65,326,75,54,51,11,61,,3,35,4.9149,8.4645,0.580649,1.4787,0.109046,0.1878,-0.0787539854645729,0.286853,2.0919,0.298804,0.679421,0.412994,,7.19248,-2.07656,-2.03207,999.0,,,,,,,28.69999999999999,0.4415384615384614,60,0.9230769230769232,,,,,,,,,,,,,,,,,,,Gustavo Rivas,sa3016503,698987,21.2
Carlos Molina,,2,4,,6.85899,65,0,0,0,,65,327,74,52,50,10,64,,3,35,4.8258,8.8299,0.546529,1.3878,0.1066,0.19505,-0.0884493067860603,0.284335,2.1177,0.297067,0.689182,0.40999,,7.19648,-2.07939,-1.83543,999.0,,,,,,,34.599999999999994,0.5323076923076923,64,0.9846153846153848,,,,,,,,,,,,,,,,,,,Carlos Molina,sa3022023,808346,20.0
Juan Duran,BAL,2,4,,6.98679,65,0,0,0,,65,327,74,53,50,10,64,,3,36,4.9932,8.9037,0.560801,1.3941,0.110232,0.196563,-0.0863302275538444,0.285306,2.1277,0.299811,0.683103,0.432006,,7.19928,-2.08137,-1.93387,999.0,,,,,,,36.599999999999994,0.563076923076923,66,1.015384615384615,,,,,,,,,,,,,,,,,,,Juan Duran,sa3022262,814813,21.2
David Morillo,,2,4,,7.02594,65,0,0,0,,65,325,74,54,51,11,60,,4,36,4.9572,8.2899,0.597981,1.5165,0.11027,0.184404,-0.0741341337561607,0.285373,2.0665,0.296534,0.678357,0.402005,,7.19928,-2.08137,-2.03207,999.0,,,,,,,33.29999999999998,0.512307692307692,62,0.953846153846154,,,,,,,,,,,,,,,,,,,David Morillo,sa3009610,683565,23.4
Andrés Parra,BAL,2,4,,6.77151,65,0,0,0,,65,322,75,52,49,11,58,,3,34,4.734,7.9938,0.592209,1.4868,0.106048,0.179073,-0.073024183511734,0.287326,2.0442,0.29735,0.688006,0.408373,,7.07218,-2.08197,-2.02106,999.0,,,,,,,35.69999999999999,0.5492307692307691,67,1.0307692307692309,,,,,,,,,,,,,,,,,,,Andres Parra,sa3018329,800365,19.9
